Data,Horário,Rodada,Mandante,Visitante,Gols_Mandante,Gols_Visitante,Resultado Final,Total_Gols,Gols_Mandante_Primeiro_Tempo,Gols_Visitante_Primeiro_Tempo,Resultado_Primeiro_Tempo,Total_Gols_Primeiro_Tempo,Posição_Mandante,Posição_Visitante,Minuto_Gols_Mandante,Minuto_Gols_Visitante,Jogador_Mandante_Gols,Jogador_Visitante_Gols,Gols_Mandante_Prorrogação,Gols_Visitante_Prorrogação,Gols_Mandante_Pênaltis,Gols_Visitante_Pênaltis,Primeiro_Time_Marcador,Árbitro,Público
28/01/2026,19:00,1,Atlético-MG,Palmeiras,2,2,E,4,1,1,E,2,0,0,"44, 74","27, 84","Victor Hugo, Khellven","José Manuel López, Vitor Roque",0,0,0,0,Palmeiras,Bruno Arleu de Araújo,25770
28/01/2026,19:00,1,Internacional,Athletico-PR,0,1,V,1,0,1,V,1,0,0,,9,,Stiven Mendoza,0,0,0,0,Athletico-PR,Flavio Rodrigues de Souza,17264
28/01/2026,19:00,1,Coritiba,Bragantino,0,1,V,1,0,0,E,0,0,0,,90+3,,Juninho Capixaba,0,0,0,0,Bragantino,Paulo Cesar Zanovelli,19637
28/01/2026,19:00,1,Vitória,Remo,2,0,M,2,0,0,E,0,0,0,"58, 77",,"Renato Kayzer, Baralhas",,0,0,0,0,Vitória,Ramon Abatti Abel,16603
28/01/2026,19:30,1,Fluminense,Grêmio,2,1,M,3,0,0,E,0,0,0,"46, 59",75,"Nonato, Luciano Acosta",Carlos Vinícius,0,0,0,0,Fluminense,Davi de Oliveira Lacerda,22986
28/01/2026,20:00,1,Corinthians,Bahia,1,2,V,3,1,2,V,3,0,0,12,"32, 45+1",Breno Bidon,"Jean Lucas, Willian José",0,0,0,0,Corinthians,Anderson Daronco,13788
28/01/2026,20:00,1,Chapecoense,Santos,4,2,M,6,1,1,E,2,0,0,"16, 73, 80, 90","45+1, 67","Walter Clar, Higor Meritão, Jean Carlos, Carvalheira","Gabriel Menino, Álvaro Barreal",0,0,0,0,Chapecoense,Sávio Pereira Sampaio,17551
28/01/2026,21:30,1,São Paulo,Flamengo,2,1,M,3,0,0,E,0,0,0,"61, 71",54,"Luciano, Danielzinho",Gonzalo Plata,0,0,0,0,Flamengo,Wilton Pereira Sampaio,27203
29/01/2026,20:00,1,Mirassol,Vasco da Gama,2,1,M,3,1,1,E,2,0,0,"32, 54",21,"Carlos Cuesta, Eduardo",Philippe Coutinho,0,0,0,0,Vasco da Gama,Rodrigo José Pereira de Lima,5883
29/01/2026,21:30,1,Botafogo,Cruzeiro,4,0,M,4,0,0,E,0,0,0,"48, 76, 85, 90+1",,"Danilo, Matheus Martins, Danilo, Artur",,0,0,0,0,Botafogo,Matheus Delgado Candançan,15307
