,Unnamed: 0.1,Unnamed: 0,ID,Rodada,Data,Casa,Fora,Gol_Casa,Gol_Fora,Escanteios_Casa,Escanteios_Fora,Cartao_Amarelo_Casa,Cartao_Amarelo_Fora,Cartao_Vermelho_Casa,Cartao_Vermelho_Fora,PrimeiroGol,Posse_De_Bola_Casa,Posse_De_Bola_Fora,AtaquePerigoso_Casa,AtaquePerigoso_Fora,Ataque_Casa,Ataque_Fora,Finalizacao_Gol_Casa,Finalizacao_Gol_Fora,Finalizacao_Casa,Finalizacao_Fora
0,0.0,1.0,2024-24FlamengoBragantino,24,2024/08/25 20:00,Flamengo,Bragantino,2,1,6,10,1,1,0,0,16' - 1st Goal - Michael (Flamengo) - Header,50,50,73,75,110,104,7,2,6,9
1,1.0,2.0,2024-24InternacionalCruzeiro,24,2024/08/25 19:00,Internacional,Cruzeiro,1,0,12,3,2,2,0,0,70' - 1st Goal - Borre (Internacional) - Shot (Assist: Tabata),44,56,54,26,126,84,9,3,10,2
2,2.0,3.0,2024-24São PauloVitória,24,2024/08/25 18:30,São Paulo,Vitória,2,1,4,3,0,2,0,0,6' - 1st Goal - William (Sao Paulo) - Shot,58,42,39,34,81,77,3,4,9,6
3,3.0,4.0,2024-24EC BahiaBotafogo,24,2024/08/25 16:00,EC Bahia,Botafogo,0,0,4,7,4,4,0,0,,53,47,47,38,83,84,7,3,10,9
4,4.0,5.0,2024-24Fortaleza ECCorinthians,24,2024/08/25 16:00,Fortaleza EC,Corinthians,1,0,3,9,3,2,0,0,78' - 1st Goal - Yago Pikachu (Fortaleza) - Shot,45,55,32,34,89,84,5,2,2,7
5,5.0,6.0,2024-24CriciúmaGrêmio,24,2024/08/25 16:00,Criciúma,Grêmio,0,1,6,9,2,1,0,0,86' - 1st Goal - Monsalve (Gremio) - Shot,47,53,44,61,104,111,4,4,15,10
6,6.0,7.0,2024-24Atlético MineiroFluminense,24,2024/08/24 21:00,Atlético Mineiro,Fluminense,0,2,5,2,5,3,0,0,23' - 1st Goal - Serna (Fluminense) - Shot,60,40,52,28,129,72,0,6,17,2
7,7.0,8.0,2024-24PalmeirasCuiabá EC,24,2024/08/24 18:30,Palmeiras,Cuiabá EC,5,0,7,1,1,1,0,0,15' - 1st Goal - Murilo (Palmeiras) - Shot,58,42,43,21,86,86,9,3,5,7
8,8.0,9.0,2024-24Atlético GOJuventude,24,2024/08/24 16:00,Atlético GO,Juventude,2,1,4,6,4,5,1,1,47' - 1st Goal - Hurtado (Atletico GO) - Shot,40,60,32,37,79,86,7,3,11,10
9,9.0,10.0,2024-23VitóriaCruzeiro,23,2024/08/19 20:00,Vitória,Cruzeiro,2,2,4,7,1,3,1,0,25' - 1st Goal - Osvaldo (Vitoria) - Penalty,30,70,28,75,66,115,5,12,9,13
10,10.0,11.0,2024-23Athletico ParanaenseJuventude,23,2024/08/18 18:30,Athletico Paranaense,Juventude,1,2,10,4,4,2,0,0,30' - 1st Goal - Nene (Juventude) - Shot,59,41,50,26,119,92,7,5,16,3
11,11.0,12.0,2024-23BotafogoFlamengo,23,2024/08/18 18:30,Botafogo,Flamengo,4,1,5,2,4,2,0,0,3' - 1st Goal - Ponte (Botafogo) - Header (Assist: Marlon Freitas),55,45,50,33,92,79,9,4,10,6
12,12.0,13.0,2024-23PalmeirasSão Paulo,23,2024/08/18 16:00,Palmeiras,São Paulo,2,1,6,1,4,2,0,1,52' - 1st Goal - Lopez (Palmeiras) - Shot,53,47,46,24,98,70,8,4,16,4
13,13.0,14.0,2024-23Atlético GOInternacional,23,2024/08/18 16:00,Atlético GO,Internacional,1,0,4,7,2,0,0,0,69' - 1st Goal - Hurtado (Atletico GO) - Shot,42,58,51,61,90,129,5,6,8,13
14,14.0,15.0,2024-23CriciúmaVasco da Gama,23,2024/08/18 16:00,Criciúma,Vasco da Gama,2,2,9,10,3,1,0,0,6' - 1st Goal - Bolasie (Criciuma) - Shot (Assist: Allano),50,50,40,41,127,84,8,4,11,9
15,15.0,16.0,2024-23FluminenseCorinthians,23,2024/08/17 21:00,Fluminense,Corinthians,0,0,6,2,2,2,0,0,,55,45,47,36,98,78,4,2,11,6
16,16.0,17.0,2024-23BragantinoFortaleza EC,23,2024/08/17 18:30,Bragantino,Fortaleza EC,1,2,9,2,4,3,0,0,26' - 1st Goal - Pochettino (Fortaleza) - Shot,61,39,75,37,108,100,9,7,4,7
17,17.0,18.0,2024-23GrêmioEC Bahia,23,2024/08/17 16:00,Grêmio,EC Bahia,0,2,1,5,3,1,0,0,45' - 1st Goal - Thaciano (Bahia) - Header,40,60,51,46,105,99,5,5,9,7
18,18.0,19.0,2024-23Atlético MineiroCuiabá EC,23,2024/08/17 16:00,Atlético Mineiro,Cuiabá EC,1,1,8,6,3,6,0,0,11' - 1st Goal - Igor Gomes (Atletico Mineiro) - Penalty,60,40,48,27,96,68,4,6,9,5
19,19.0,20.0,2024-6InternacionalJuventude,6,2024/08/14 19:30,Internacional,Juventude,2,1,8,1,2,4,0,0,45+4' - 1st Goal - Nene (Juventude) - Shot,48,52,54,16,110,82,10,3,11,5
20,20.0,21.0,2024-22InternacionalAthletico Paranaense,22,2024/08/11 19:00,Internacional,Athletico Paranaense,2,2,9,0,1,2,0,0,12' - 1st Goal - Wesley (Internacional) - Shot,54,46,66,34,132,100,4,5,19,7
21,21.0,22.0,2024-22EC BahiaVitória,22,2024/08/11 16:00,EC Bahia,Vitória,2,0,3,7,3,4,0,0,15' - 1st Goal - Everton Ribeiro (Bahia) - Shot,57,43,32,40,80,106,3,5,4,8
22,22.0,23.0,2024-22FlamengoPalmeiras,22,2024/08/11 16:00,Flamengo,Palmeiras,1,1,4,2,1,3,0,1,69' - 1st Goal - De Arrascaeta (Flamengo) - Shot,51,49,42,35,96,90,7,6,4,3
23,23.0,24.0,2024-22São PauloAtlético GO,22,2024/08/11 16:00,São Paulo,Atlético GO,1,0,3,2,1,2,0,0,15' - 1st Goal - Andre Silva (Sao Paulo) - Header,45,55,36,45,92,117,7,6,5,7
24,24.0,25.0,2024-22JuventudeBotafogo,22,2024/08/11 11:00,Juventude,Botafogo,3,2,6,12,3,5,0,0,9' - 1st Goal - Danilo Boza (Juventude) - Header,37,63,26,64,58,120,8,10,8,14
25,25.0,26.0,2024-22CorinthiansBragantino,22,2024/08/10 21:30,Corinthians,Bragantino,1,1,6,6,3,6,0,0,39' - 1st Goal - Helinho (Bragantino) - Shot,63,37,80,28,124,78,5,6,15,5
26,26.0,27.0,2024-22CruzeiroAtlético Mineiro,22,2024/08/10 21:30,Cruzeiro,Atlético Mineiro,0,0,4,4,3,1,0,0,,35,65,26,34,107,96,1,4,5,8
27,27.0,28.0,2024-22Vasco da GamaFluminense,22,2024/08/10 21:30,Vasco da Gama,Fluminense,2,0,6,3,3,3,0,0,23' - 1st Goal - Vegetti (Vasco da Gama) - Shot,43,57,34,44,96,94,3,3,5,9
28,28.0,29.0,2024-22Cuiabá ECGrêmio,22,2024/08/10 19:00,Cuiabá EC,Grêmio,1,3,5,5,1,2,0,0,23' - 1st Goal - Gomes (Gremio) - Header,60,40,58,39,128,72,3,6,12,3
29,29.0,30.0,2024-22Fortaleza ECCriciúma,22,2024/08/10 16:00,Fortaleza EC,Criciúma,1,0,4,6,2,4,0,0,47' - 1st Goal - Moises (Fortaleza) - Shot,50,50,29,28,96,104,4,2,12,10
30,30.0,31.0,2024-21CruzeiroFortaleza EC,21,2024/08/05 21:00,Cruzeiro,Fortaleza EC,1,2,5,1,3,3,0,0,9' - 1st Goal - Breno (Fortaleza) - Shot,68,32,61,24,137,75,7,4,8,7
31,31.0,32.0,2024-21InternacionalPalmeiras,21,2024/08/04 17:00,Internacional,Palmeiras,1,1,4,11,2,0,0,0,31' - 1st Goal - Bruno Henrique (Internacional) - Shot,41,59,51,68,93,130,7,5,9,12
32,32.0,33.0,2024-21Athletico ParanaenseGrêmio,21,2024/08/04 16:00,Athletico Paranaense,Grêmio,0,2,9,0,2,0,0,0,18' - 1st Goal - Martins (Gremio) - Header,75,25,82,17,176,74,3,7,11,2
33,33.0,34.0,2024-21CorinthiansJuventude,21,2024/08/04 16:00,Corinthians,Juventude,1,1,11,3,2,6,0,2,4' - 1st Goal - Alan Ruschel (Juventude) - Shot,64,36,75,11,152,50,10,3,24,3
34,34.0,35.0,2024-21FluminenseEC Bahia,21,2024/08/04 16:00,Fluminense,EC Bahia,1,0,3,3,3,2,0,0,45' - 1st Goal - Kaua Elias (Fluminense) - Header,49,51,52,30,104,100,6,3,6,8
35,35.0,36.0,2024-21São PauloFlamengo,21,2024/08/03 21:30,São Paulo,Flamengo,1,0,8,3,1,2,0,0,62' - 1st Goal - Calleri (Sao Paulo) - Header,59,41,49,28,107,83,3,0,12,8
36,36.0,37.0,2024-21Atlético GOBotafogo,21,2024/08/03 20:00,Atlético GO,Botafogo,1,4,3,7,3,3,1,1,21' - 1st Goal - Carlos Alberto (Botafogo) - Shot,48,52,52,31,87,89,3,9,6,4
37,37.0,38.0,2024-21CriciúmaAtlético Mineiro,21,2024/08/03 20:00,Criciúma,Atlético Mineiro,2,1,5,1,1,2,0,0,58' - 1st Goal - Higor Meritao (Criciuma) - Shot,28,72,22,50,66,124,5,3,8,16
38,38.0,39.0,2024-21Vasco da GamaBragantino,21,2024/08/03 19:00,Vasco da Gama,Bragantino,2,2,4,3,4,1,0,0,5' - 1st Goal - Jhonatan (Bragantino) - Shot,63,37,62,23,130,72,3,3,8,4
39,39.0,40.0,2024-21VitóriaCuiabá EC,21,2024/08/03 16:00,Vitória,Cuiabá EC,1,0,4,5,3,3,0,0,71' - 1st Goal - Wagner Leonardo (Vitoria) - Header,47,53,49,40,90,120,3,2,14,7
40,40.0,41.0,2024-20Atlético MineiroCorinthians,20,2024/07/28 19:00,Atlético Mineiro,Corinthians,2,1,4,4,2,3,1,0,32' - 1st Goal - Hulk (Atletico Mineiro) - Penalty,67,33,44,32,110,87,4,7,6,4
41,41.0,42.0,2024-20GrêmioVasco da Gama,20,2024/07/28 19:00,Grêmio,Vasco da Gama,1,0,8,3,3,4,0,0,57' - 1st Goal - Soteldo (Gremio) - Shot,54,46,67,20,99,83,3,1,17,11
42,42.0,43.0,2024-20Cuiabá ECAthletico Paranaense,20,2024/07/28 19:00,Cuiabá EC,Athletico Paranaense,1,2,12,2,0,2,0,0,11' - 1st Goal - Julimar (Athletico Paranaense) - Shot,50,50,80,38,121,86,4,4,14,7
43,43.0,44.0,2024-20FlamengoAtlético GO,20,2024/07/28 16:00,Flamengo,Atlético GO,2,0,6,3,3,2,2,0,19' - 1st Goal - Pedro (Flamengo) - Shot,53,47,53,48,104,102,6,3,6,9
44,44.0,45.0,2024-20BragantinoFluminense,20,2024/07/28 11:00,Bragantino,Fluminense,0,1,5,6,1,2,0,0,44' - 1st Goal - Kaua Elias (Fluminense) - Shot (Assist: Ganso),59,41,49,41,111,81,2,3,11,4
45,45.0,46.0,2024-20BotafogoCruzeiro,20,2024/07/27 21:30,Botafogo,Cruzeiro,0,3,8,1,2,4,0,0,13' - 1st Goal - William (Cruzeiro) - Shot,58,42,60,23,122,70,10,5,8,7
46,46.0,47.0,2024-20Fortaleza ECSão Paulo,20,2024/07/27 21:30,Fortaleza EC,São Paulo,1,0,3,10,2,3,0,0,4' - 1st Goal - Kayzer (Fortaleza) - Penalty,37,63,37,38,83,89,2,1,10,8
47,47.0,48.0,2024-20EC BahiaInternacional,20,2024/07/27 20:00,EC Bahia,Internacional,1,1,4,2,1,4,0,0,13' - 1st Goal - David Duarte (Bahia) - Header,51,49,40,45,94,127,3,2,7,10
48,48.0,49.0,2024-20JuventudeCriciúma,20,2024/07/27 19:00,Juventude,Criciúma,1,2,5,7,1,2,0,0,57' - 1st Goal - Bolasie (Criciuma) - Shot,58,42,48,46,100,91,5,7,5,7
